text,label
"This movie is absolutely fantastic! I loved every minute of it.",pos
"Terrible film. Waste of time and money.",neg
"The acting was superb and the plot kept me engaged throughout.",pos
"I fell asleep halfway through. So boring.",neg
"A masterpiece of modern cinema. Highly recommended!",pos
"The worst movie I have ever seen. Terrible acting.",neg
"Great storyline with unexpected twists and turns.",pos
"Not my cup of tea but I can see why others might enjoy it.",neg
"Brilliant performances by the entire cast.",pos
"The special effects were amazing but the story was weak.",neg
"I would watch this movie again and again!",pos
"Complete garbage. Do not waste your time.",neg
"A beautiful and moving story that touched my heart.",pos
"The dialogue was cringe-worthy and the plot was predictable.",neg
"One of the best films of the year without a doubt.",pos
"I want my two hours back. Absolutely dreadful.",neg
"Stunning visuals and a compelling narrative.",pos
"The movie started strong but fell apart in the second half.",neg
"An instant classic that will be remembered for years.",pos
"Overhyped and underdelivered. Very disappointing.",neg
